2759->Feature of type 3 starts(7, 9) ends(31, 15) in (x, y) format
2771->Feature of type 3 starts(7, 9) ends(31, 15) in (x, y) format
2783->Feature of type 3 starts(7, 9) ends(31, 15) in (x, y) format
1811->Feature of type 3 starts(3, 8) ends(28, 14) in (x, y) format
1799->Feature of type 3 starts(3, 8) ends(27, 14) in (x, y) format
1880->Feature of type 0 starts(4, 8) ends(27, 14) in (x, y) format
2070->Feature of type 2 starts(6, 8) ends(29, 13) in (x, y) format
2387->Feature of type 3 starts(3, 9) ends(28, 15) in (x, y) format
2383->Feature of type 3 starts(3, 9) ends(28, 14) in (x, y) format
95->Feature of type 3 starts(3, 5) ends(29, 11) in (x, y) format
1247->Feature of type 3 starts(3, 7) ends(29, 13) in (x, y) format
2361->Feature of type 1 starts(3, 9) ends(26, 15) in (x, y) format
2363->Feature of type 3 starts(3, 9) ends(26, 15) in (x, y) format
2389->Feature of type 1 starts(3, 9) ends(29, 13) in (x, y) format
2473->Feature of type 1 starts(4, 9) ends(29, 13) in (x, y) format
2531->Feature of type 3 starts(5, 9) ends(26, 15) in (x, y) format
2545->Feature of type 1 starts(5, 9) ends(28, 13) in (x, y) format
2557->Feature of type 1 starts(5, 9) ends(29, 13) in (x, y) format
2615->Feature of type 3 starts(6, 9) ends(26, 15) in (x, y) format
2627->Feature of type 3 starts(6, 9) ends(27, 15) in (x, y) format
2641->Feature of type 1 starts(6, 9) ends(29, 13) in (x, y) format
1234->Feature of type 2 starts(3, 7) ends(28, 13) in (x, y) format
1318->Feature of type 2 starts(4, 7) ends(28, 13) in (x, y) format
1914->Feature of type 2 starts(4, 8) ends(30, 13) in (x, y) format
2649->Feature of type 1 starts(6, 9) ends(29, 15) in (x, y) format
1426->Feature of type 2 starts(5, 7) ends(30, 13) in (x, y) format
1438->Feature of type 2 starts(5, 7) ends(31, 13) in (x, y) format
2539->Feature of type 3 starts(5, 9) ends(27, 14) in (x, y) format
2365->Feature of type 1 starts(3, 9) ends(27, 13) in (x, y) format
2377->Feature of type 1 starts(3, 9) ends(28, 13) in (x, y) format
2445->Feature of type 1 starts(4, 9) ends(26, 15) in (x, y) format
2449->Feature of type 1 starts(4, 9) ends(27, 13) in (x, y) format
2461->Feature of type 1 starts(4, 9) ends(28, 13) in (x, y) format
2533->Feature of type 1 starts(5, 9) ends(27, 13) in (x, y) format
2625->Feature of type 1 starts(6, 9) ends(27, 15) in (x, y) format
2639->Feature of type 3 starts(6, 9) ends(28, 15) in (x, y) format
2456->Feature of type 0 starts(4, 9) ends(27, 15) in (x, y) format
2015->Feature of type 3 starts(5, 8) ends(31, 14) in (x, y) format
1818->Feature of type 2 starts(3, 8) ends(29, 13) in (x, y) format
1902->Feature of type 2 starts(4, 8) ends(29, 13) in (x, y) format
1979->Feature of type 3 starts(5, 8) ends(28, 14) in (x, y) format
1518->Feature of type 2 starts(6, 7) ends(31, 12) in (x, y) format
1530->Feature of type 2 starts(6, 7) ends(31, 12) in (x, y) format
2447->Feature of type 3 starts(4, 9) ends(26, 15) in (x, y) format
2485->Feature of type 1 starts(4, 9) ends(30, 13) in (x, y) format
2617->Feature of type 1 starts(6, 9) ends(27, 13) in (x, y) format
2629->Feature of type 1 starts(6, 9) ends(28, 13) in (x, y) format
2637->Feature of type 1 starts(6, 9) ends(28, 15) in (x, y) format
2638->Feature of type 2 starts(6, 9) ends(28, 15) in (x, y) format
2643->Feature of type 3 starts(6, 9) ends(29, 13) in (x, y) format
2551->Feature of type 3 starts(5, 9) ends(28, 14) in (x, y) format
2575->Feature of type 3 starts(5, 9) ends(30, 14) in (x, y) format
1439->Feature of type 3 starts(5, 7) ends(31, 13) in (x, y) format
2495->Feature of type 3 starts(4, 9) ends(30, 15) in (x, y) format
1816->Feature of type 0 starts(3, 8) ends(29, 13) in (x, y) format
2483->Feature of type 3 starts(4, 9) ends(29, 15) in (x, y) format
1414->Feature of type 2 starts(5, 7) ends(29, 13) in (x, y) format
2025->Feature of type 1 starts(6, 8) ends(25, 14) in (x, y) format
2519->Feature of type 3 starts(5, 9) ends(25, 15) in (x, y) format
2569->Feature of type 1 starts(5, 9) ends(30, 13) in (x, y) format
2581->Feature of type 1 starts(5, 9) ends(31, 13) in (x, y) format
2653->Feature of type 1 starts(6, 9) ends(30, 13) in (x, y) format
2665->Feature of type 1 starts(6, 9) ends(31, 13) in (x, y) format
2677->Feature of type 1 starts(6, 9) ends(31, 13) in (x, y) format
2537->Feature of type 1 starts(5, 9) ends(27, 14) in (x, y) format
2491->Feature of type 3 starts(4, 9) ends(30, 14) in (x, y) format
1402->Feature of type 2 starts(5, 7) ends(28, 13) in (x, y) format
2093->Feature of type 1 starts(6, 8) ends(31, 13) in (x, y) format
2105->Feature of type 1 starts(6, 8) ends(31, 13) in (x, y) format
